what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292593580833
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1292593581679
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1292593590141
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292593592730
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292593596723
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1292593597551
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292593603271
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292593606419
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1292593613153
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1292593621820
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1292593629294
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1292593693740
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1292593704515
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1292593707742
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1292593738612
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1292593746292
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1292593759785
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1292593765098
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292593808145
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292593810492
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292593811054
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292593811549
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292593811951
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292593812359
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1292593859364
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1292593860791
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1292593875502
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1292593883425
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1292593900217
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1292593902815
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1292593939405
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292594005747
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292594006511
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292594006516
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292594029255
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292594030377
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292594034225
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1292594043160
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1292594086425
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1292594100131
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1292594145021
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1292594151271
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1292594366873
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1292594369900
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1292594386600
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1292594391670
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1292594448741
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1292594460018
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1292594469341
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1292594483061
